message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""a6bd896b-ce92-4f23-ba48-744194e620d7"",""replica"":""557c57ce-d06f-4e60-ae3c-60391ac47c2e""}",2026-09-13T17:08:50.658632994Z
"2026-09-13T17:08:57.315Z [[32minfo[39m] MQTT TLS credentials loaded from environment (in-memory only) {""service"":""mqtt-publisher-lite"",""hasCa"":true,""hasClientCert"":true,""hasClientKey"":true}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""a6bd896b-ce92-4f23-ba48-744194e620d7"",""replica"":""557c57ce-d06f-4e60-ae3c-60391ac47c2e""}",2026-09-13T17:08:58.314395603Z
"2026-09-13T17:08:57.315Z [[33mwarn[39m] Deprecated environment variable BATCH_SIZE; use IG_POLL_BATCH_SIZE instead {""service"":""mqtt-publisher-lite""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""a6bd896b-ce92-4f23-ba48-744194e620d7"",""replica"":""557c57ce-d06f-4e60-ae3c-60391ac47c2e""}",2026-09-13T17:08:58.314402173Z
"2026-09-13T17:08:57.316Z [[33mwarn[39m] Deprecated environment variable BATCH_TIMEOUT; use INFLUXDB_QUEUE_FLUSH_MS instead {""service"":""mqtt-publisher-lite""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""a6bd896b-ce92-4f23-ba48-744194e620d7"",""replica"":""557c57ce-d06f-4e60-ae3c-60391ac47c2e""}",2026-09-13T17:08:58.314405633Z
"2026-09-13T17:08:57.316Z [[33mwarn[39m] Deprecated environment variable MAX_RETRIES; use INFLUXDB_HEALTH_RETRIES instead {""service"":""mqtt-publisher-lite""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""a6bd896b-ce92-4f23-ba48-744194e620d7"",""replica"":""557c57ce-d06f-4e60-ae3c-60391ac47c2e""}",2026-09-13T17:08:58.314408813Z
"2026-09-13T17:08:57.316Z [[33mwarn[39m] Deprecated environment variable CONNECTION_POOL_MAX; use MONGODB_MAX_POOL_SIZE instead {""service"":""mqtt-publisher-lite""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""a6bd896b-ce92-4f23-ba48-744194e620d7"",""replica"":""557c57ce-d06f-4e60-ae3c-60391ac47c2e""}",2026-09-13T17:08:58.314412063Z
"2026-09-13T17:08:57.311Z [[32minfo[39m] Provisioning Root CA: env probe (lengths only, values not logged) {""service"":""mqtt-publisher-lite"",""source"":""MQTT_TLS_CA_BASE64 + MQTT_TLS_CA_KEY_BASE64"",""MQTT_TLS_CA_BASE64_present"":true,""MQTT_TLS_CA_BASE64_length"":1712,""MQTT_TLS_CA_KEY_BASE64_present"":true,""MQTT_TLS_CA_KEY_BASE64_length"":2276,""PROVISIONING_CA_DIR"":""/app/data/certs""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""a6bd896b-ce92-4f23-ba48-744194e620d7"",""replica"":""557c57ce-d06f-4e60-ae3c-60391ac47c2e""}",2026-09-13T17:08:58.314463252Z
"2026-09-13T17:08:57.313Z [[32minfo[39m] Provisioning Root CA: read PEM from environment (decoded) {""service"":""mqtt-publisher-lite"",""cert_pem_bytes"":1280,""cert_sha256_prefix"":""4287dec1a8458305"",""key_pem_bytes"":1704,""key_kind"":""PKCS#1 RSA""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""a6bd896b-ce92-4f23-ba48-744194e620d7"",""replica"":""557c57ce-d06f-4e60-ae3c-60391ac47c2e""}",2026-09-13T17:08:58.314465892Z
"2026-09-13T17:08:57.314Z [[32minfo[39m] Provisioning Root CA: wrote files from env (CAService will load these paths) {""service"":""mqtt-publisher-lite"",""certPath"":""/app/data/certs/root-ca.crt"",""keyPath"":""/app/data/certs/root-ca.key"",""cert_file_bytes"":1281,""key_file_bytes"":1705,""caStoragePath"":""/app/data/certs""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""a6bd896b-ce92-4f23-ba48-744194e620d7"",""replica"":""557c57ce-d06f-4e60-ae3c-60391ac47c2e""}",2026-09-13T17:08:58.314468802Z
"2026-09-13T17:08:57.316Z [[33mwarn[39m] Deprecated environment variable CONNECTION_POOL_MIN; use MONGODB_MIN_POOL_SIZE instead {""service"":""mqtt-publisher-lite""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""a6bd896b-ce92-4f23-ba48-744194e620d7"",""replica"":""557c57ce-d06f-4e60-ae3c-60391ac47c2e""}",2026-09-13T17:08:58.318609468Z
