message,severity,attributes,tags,timestamp
"2026-07-23T06:27:17.219Z [[32minfo[39m] ⏱️ Tracking QoS 1 message (30s timeout) {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-13"",""messageId"":44699,""topic"":""proof.mqtt/DEVICE-13/gmb"",""pendingCount"":2}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:27:19.623900945Z
"2026-07-23T06:27:17.326Z [[32minfo[39m] ✅ PUBACK received {""service"":""mqtt-publisher-lite"",""messageId"":44698}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:27:19.623904745Z
"2026-07-23T06:27:17.327Z [[32minfo[39m] ✅ QoS 1 PUBACK confirmed {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-13"",""messageId"":44698,""deliveryTime"":""220ms"",""pendingCount"":1}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:27:19.623908355Z
"2026-07-23T06:27:17.327Z [[34mdebug[39m] ✅ [LIFECYCLE:PUBACK_OK] Device confirmed message receipt {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-13""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:27:19.623912135Z
"2026-07-23T06:27:17.327Z [[34mdebug[39m] Message published {""service"":""mqtt-publisher-lite"",""topic"":""proof.mqtt/DEVICE-13/instagram"",""qos"":1,""deliveryTime"":""220ms""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:27:19.623916185Z
"2026-07-23T06:27:17.327Z [[34mdebug[39m] Message received {""service"":""mqtt-publisher-lite"",""topic"":""proof.mqtt/DEVICE-13/instagram"",""size"":228,""retain"":false}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:27:19.623919805Z
"2026-07-23T06:27:17.328Z [[34mdebug[39m] Skipping echo message {""service"":""mqtt-publisher-lite"",""topic"":""proof.mqtt/DEVICE-13/instagram"",""age"":""0ms""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:27:19.623923255Z
"2026-07-23T06:27:17.328Z [[34mdebug[39m] Screen message received {""service"":""mqtt-publisher-lite"",""topic"":""proof.mqtt/DEVICE-13/instagram"",""screen"":""instagram""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:27:19.624875188Z
"2026-07-23T06:27:17.429Z [[32minfo[39m] [STIM_IG] Published {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-13"",""followers"":19,""target"":500,""mode"":""synthetic"",""achievement"":20,""celebration"":""false"",""done"":false}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:27:19.624886098Z
"2026-07-23T06:27:17.437Z [[32minfo[39m] ✅ PUBACK received {""service"":""mqtt-publisher-lite"",""messageId"":44699}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:27:19.624891248Z
