message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""acf6ba43-652d-4725-96f6-6a34d92bdafb"",""replica"":""3a6a98ac-33a5-460d-82e3-5ddb81381546""}",2026-07-23T06:51:51.053929950Z
"2026-07-23T06:52:07.223Z [[32minfo[39m] Provisioning Root CA: env probe (lengths only, values not logged) {""service"":""mqtt-publisher-lite"",""source"":""MQTT_TLS_CA_BASE64 + MQTT_TLS_CA_KEY_BASE64"",""MQTT_TLS_CA_BASE64_present"":true,""MQTT_TLS_CA_BASE64_length"":2624,""MQTT_TLS_CA_KEY_BASE64_present"":true,""MQTT_TLS_CA_KEY_BASE64_length"":4360,""PROVISIONING_CA_DIR"":""/app/data/certs""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""acf6ba43-652d-4725-96f6-6a34d92bdafb"",""replica"":""3a6a98ac-33a5-460d-82e3-5ddb81381546""}",2026-07-23T06:52:07.956553251Z
"2026-07-23T06:52:07.226Z [[32minfo[39m] Provisioning Root CA: read PEM from environment (decoded) {""service"":""mqtt-publisher-lite"",""cert_pem_bytes"":1967,""cert_sha256_prefix"":""2a93d0ae294a1de3"",""key_pem_bytes"":3267,""key_kind"":""PKCS#8""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""acf6ba43-652d-4725-96f6-6a34d92bdafb"",""replica"":""3a6a98ac-33a5-460d-82e3-5ddb81381546""}",2026-07-23T06:52:07.956559199Z
"2026-07-23T06:52:07.228Z [[32minfo[39m] Provisioning Root CA: wrote files from env (CAService will load these paths) {""service"":""mqtt-publisher-lite"",""certPath"":""/app/data/certs/root-ca.crt"",""keyPath"":""/app/data/certs/root-ca.key"",""cert_file_bytes"":1968,""key_file_bytes"":3268,""caStoragePath"":""/app/data/certs""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""acf6ba43-652d-4725-96f6-6a34d92bdafb"",""replica"":""3a6a98ac-33a5-460d-82e3-5ddb81381546""}",2026-07-23T06:52:07.956569465Z
"2026-07-23T06:52:07.229Z [[32minfo[39m] MQTT TLS credentials loaded from environment (in-memory only) {""service"":""mqtt-publisher-lite"",""hasCa"":true,""hasClientCert"":true,""hasClientKey"":true}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""acf6ba43-652d-4725-96f6-6a34d92bdafb"",""replica"":""3a6a98ac-33a5-460d-82e3-5ddb81381546""}",2026-07-23T06:52:07.956575490Z
"2026-07-23T06:52:07.229Z [[33mwarn[39m] Deprecated environment variable BATCH_SIZE; use IG_POLL_BATCH_SIZE instead {""service"":""mqtt-publisher-lite""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""acf6ba43-652d-4725-96f6-6a34d92bdafb"",""replica"":""3a6a98ac-33a5-460d-82e3-5ddb81381546""}",2026-07-23T06:52:07.956581407Z
"2026-07-23T06:52:07.229Z [[33mwarn[39m] Deprecated environment variable MAX_RETRIES; use INFLUXDB_HEALTH_RETRIES instead {""service"":""mqtt-publisher-lite""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""acf6ba43-652d-4725-96f6-6a34d92bdafb"",""replica"":""3a6a98ac-33a5-460d-82e3-5ddb81381546""}",2026-07-23T06:52:07.956587990Z
"2026-07-23T06:52:07.230Z [[33mwarn[39m] Deprecated environment variable BATCH_TIMEOUT; use INFLUXDB_QUEUE_FLUSH_MS instead {""service"":""mqtt-publisher-lite""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""acf6ba43-652d-4725-96f6-6a34d92bdafb"",""replica"":""3a6a98ac-33a5-460d-82e3-5ddb81381546""}",2026-07-23T06:52:07.956593741Z
"2026-07-23T06:52:07.230Z [[33mwarn[39m] Deprecated environment variable CONNECTION_POOL_MAX; use MONGODB_MAX_POOL_SIZE instead {""service"":""mqtt-publisher-lite""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""acf6ba43-652d-4725-96f6-6a34d92bdafb"",""replica"":""3a6a98ac-33a5-460d-82e3-5ddb81381546""}",2026-07-23T06:52:07.956599509Z
"2026-07-23T06:52:07.232Z [[32minfo[39m] 🗃️  Initializing MongoDB (REQUIRED)... {""service"":""mqtt-publisher-lite""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""acf6ba43-652d-4725-96f6-6a34d92bdafb"",""replica"":""3a6a98ac-33a5-460d-82e3-5ddb81381546""}",2026-07-23T06:52:07.958211332Z
